中文名,英文名,标准学名,科,属,资源状态,价值等级,价值外显命名,鱼单价/kg,期望单鱼价格,最大记录重量(kg),期望重量(kg),重量段,最大记录体长(cm),常见体长(cm),重量参数a,重量参数b,栖息带类型,深度下限(m),深度上限(m),资料水温下限(°C),资料水温上限(°C),最喜欢的温度(°C),食性（源表候选）,时段偏好,天气偏好,候选水温带,地域分布,性格,现实单价参考(元/kg),俄4映射鱼种,俄4映射类型,环境类型,迁徙类型,摄食类型,营养级,资料库体型,资料库捕获方式,体长口径,AI审核状态,匹配依据,源记录ID,飞书来源,快照日期,源表版本,Notion资料页
鳡鱼,Yellowcheek,Elopichthys Bambusa,Xenocyprididae,Elopichthys,,2,常见,876.5,15757.16326,40,12,T9,200,100,0.0069,2.93,benthopelagic,,,10,20,15,,早晨活跃,晴间多云、微风；以天气稳定为先,温水,亚洲,活泼,30,廓里湖红点鲑,近似种类比,"[""淡水""]",potamodromous,,,elongated,,TL,待人工审核,新增鱼种整合：台钓xlsx美术清单第16行；台钓xlsx策划清单第75行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcI9sV4,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcI9sV4,2026-09-08,4987,https://app.notion.com/p/3d5a4137d236810395d6f3bcb304bd78
马口鱼,Chinese Hook Snout Carp,Opsariichthys Bidens,Xenocyprididae,Opsariichthys,,2,常见,968.5,151.0299759,0.261,0.1,T1,26.1,15,0.005,3.26,benthopelagic,,,10,20,15,,早晨活跃,晴间多云、微风；以天气稳定为先,温水,亚洲,躲藏,30,青蛙,近似种类比,"[""淡水""]",,,,fusiform / normal,,TL,待人工审核,新增鱼种整合：台钓xlsx美术清单第19行；台钓xlsx策划清单第8行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcI6Yy6,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcI6Yy6,2026-09-08,4987,https://app.notion.com/p/3d5a4137d236810a8ca0e1b5246fc1c2
黄金鲫,Golden Crucian,Carassius Auratus (hybrid),Cyprinidae,Carassius,,1,普通,511.9,565.1110883,2.5,0.5,T3,45,22,0.01049,3.14,,0,20,0,41,20.5,,早晨活跃,晴间多云、微风；以天气稳定为先,温水,亚洲,活泼,19.8,白刺盖太阳鱼,近似种类比,,,,,,,,待人工审核,新增鱼种整合：台钓xlsx美术清单第6行；台钓xlsx策划清单第23行；未取得FishBase唯一匹配，保留来源字段；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIwOXg,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIwOXg,2026-09-08,4987,https://app.notion.com/p/3d5a4137d236810b8c86cec873824267
鯮鱼,Long-jawed Baelama,Luciobrama Macrocephalus,Xenocyprididae,Luciobrama,,2,常见,876.5,15757.16326,40,7,T9,48,24,0.00617,3.08,benthopelagic,,,17,27,22,,早晨活跃,晴间多云、微风；以天气稳定为先,温水,亚洲,躲藏,30,廓里湖红点鲑,近似种类比,"[""淡水"",""半咸水""]",,,,elongated,,TL,待人工审核,新增鱼种整合：台钓xlsx策划清单第70行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIYRCN,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIYRCN,2026-09-08,4987,https://app.notion.com/p/3d5a4137d236811aac67fcb4c000ccc7
黄颡鱼,Yellow Catfish,Tachysurus Fulvidraco,Bagridae,Tachysurus,,2,常见,968.5,151.0299759,0.3,0.15,T1,34.5,8,0.0158,2.845,demersal,,,16,25,20.5,"[""肉食性""]",全天活跃,晴间多云、微风；以天气稳定为先,温水,亚洲,孤僻,30,青蛙,近似种类比,"[""淡水""]",non-migratory,hunting macrofauna (predator),3.5,elongated,,TL,待人工审核,新增鱼种整合：台钓xlsx美术清单第21行；台钓xlsx策划清单第10行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcI0jOn,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcI0jOn,2026-09-08,4987,https://app.notion.com/p/3d5a4137d2368136b4b4efb2d1597043
麦穗鱼,Stone Moroko,Pseudorasbora Parva,Gobionidae,Pseudorasbora,,2,常见,1168.5,38.06234779,0.05,0.01,T1,12.5,8,0.0066,3.204,benthopelagic,,,5,22,13.5,"[""杂食性""]",全天活跃,晴间多云、微风；以天气稳定为先,冷水,亚洲,撕鳍,30,黑尾叉牙七鳃鳗,近似种类比,"[""淡水"",""半咸水""]",,variable,3.06,fusiform / normal,,TL,待人工审核,新增鱼种整合：台钓xlsx美术清单第35行；台钓xlsx策划清单第2行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcISGxd,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcISGxd,2026-09-08,4987,https://app.notion.com/p/3d5a4137d236814090bfc716fbd957f9
鲢鱼,Silver Carp,Hypophthalmichthys Molitrix,Xenocyprididae,Hypophthalmichthys,,1,普通,273.3,5583.198566,50,2.5,T10,120,18,0.0052,3.162,benthopelagic,0,20,6,30,18,"[""植食性""]",早晨活跃,晴间多云、微风；以天气稳定为先,广温,欧亚大陆,温和,6.66,鲢鱼,同物种,"[""淡水"",""半咸水""]",potamodromous,grazing on aquatic plants,2.28,fusiform / normal,seines,TL,待人工审核,新增鱼种整合：美术资源总表152-173第153行；台钓xlsx美术清单第30行；鱼类需求第12行；台钓xlsx策划清单第58行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIlrhs,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIlrhs,2026-09-08,4987,https://app.notion.com/p/3d5a4137d2368144bc8bdc044702625a
黄尾鲴,Xenocypris Davidi,Xenocypris Davidi,Xenocyprididae,Xenocypris,,2,常见,1158.9,757.6036004,1.64,0.4,T2,46.9,11.8,0.009,3.18,benthopelagic,,,17,27,22,,早晨活跃,晴间多云、微风；以天气稳定为先,温水,亚洲,躲藏,30,银鲷鱼,近似种类比,"[""淡水"",""半咸水""]",,,,fusiform / normal,,SL,待人工审核,新增鱼种整合：台钓xlsx美术清单第38行；台钓xlsx策划清单第16行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIvhh6,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIvhh6,2026-09-08,4987,https://app.notion.com/p/3d5a4137d236817c8fabe6d042fc05d7
鲮,Mud Carp,Cirrhinus Molitorella,Cyprinidae,Cirrhinus,,2,常见,1158.9,757.6036004,1.488,0.3,T2,55,15.2,0.0075,3.08,benthopelagic,5,20,22,26,24,"[""植食性""]",早晨活跃,晴间多云、微风；以天气稳定为先,暖水,亚洲,温和,30,银鲷鱼,近似种类比,"[""淡水""]",potamodromous,grazing on aquatic plants,2,fusiform / normal,,TL,待人工审核,新增鱼种整合：台钓xlsx美术清单第23行；台钓xlsx策划清单第22行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIxfgB,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIxfgB,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681a590eac43eac7922a4
鳙鱼,Bighead Carp,Hypophthalmichthys Nobilis,Xenocyprididae,Hypophthalmichthys,,1,普通,204.9,5023.040115,40,4,T11,146,60,0.0139,3.07,benthopelagic,0,,0.5,38,19.25,"[""杂食性""]",早晨活跃,晴间多云、微风；以天气稳定为先,广温,亚洲,撕鳍,14.97,鳙鱼,同物种,"[""淡水"",""半咸水""]",potamodromous,variable,2.83,fusiform / normal,,SL,待人工审核,新增鱼种整合：美术资源总表152-173第154行；台钓xlsx美术清单第29行；鱼类需求第13行；台钓xlsx策划清单第64行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIqCRi,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIqCRi,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681be80e9e3619f88d8aa
