template_id,step,operation,input,output,failure
S_FIXED,1,查分段线性曲线,target.temperature_c × @Temperature,T,输入缺失/类型错 → ValidationError；不抽签、不写状态
S_FIXED,2,按具名锚点读取距离，再查曲线,target.anchor_distances_m[@Anchor] × @Structure,S,输入缺失/类型错 → ValidationError；不抽签、不写状态
S_FIXED,3,查分段线性曲线,target.depth_m × @Depth,D,输入缺失/类型错 → ValidationError；不抽签、不写状态
S_FIXED,4,固定 Light Slot：关=1；开=查曲线,target.illuminance_lux × @Light,L,输入缺失/类型错 → ValidationError；不抽签、不写状态
S_FIXED,5,独立因子乘积,T × S × D × L,BaseSpatialFit,输入缺失/类型错 → ValidationError；不抽签、不写状态
S_FIXED,6,"固定末端 Overlay：关=原值；开=BLEND(base,MAX(cover,deep),severity)",BaseSpatialFit / @Cover / @Deep / weather.cold_front_severity,SpatialDistributionWeight,输入缺失/类型错 → ValidationError；不抽签、不写状态
R_BANDS,1,只读同一 Opportunity Evaluation Scope,FeedingMatch / Presentation facts,facts,输入缺失/类型错 → ValidationError；不抽签、不写状态
R_BANDS,2,按显式 priority 递增测试条件；FIRST_MATCH,ResponseBand + Predicate,第一条命中行,输入缺失/类型错 → ValidationError；不抽签、不写状态
R_BANDS,3,SET；无命中使用固定 Default Slot,response_strength 或 @Default,ResponseStrength,输入缺失/类型错 → ValidationError；不抽签、不写状态
R_DEFENSE,1,只读已准入的入侵强度,response.intrusion_strength,intrusion,输入缺失/类型错 → ValidationError；不抽签、不写状态
R_DEFENSE,2,查 Defense 曲线,intrusion × @Defense,ResponseStrength；立即返回,输入缺失/类型错 → ValidationError；不抽签、不写状态
R_DUAL_FIXED,1,从同一快照评价固定 Grazing Slot,food.grazing_availability × @Grazing,G,输入缺失/类型错 → ValidationError；不抽签、不写状态
R_DUAL_FIXED,2,从同一快照评价固定 Suspended Slot,food.suspended_availability × @Suspended,S,输入缺失/类型错 → ValidationError；不抽签、不写状态
R_DUAL_FIXED,3,固定聚合 MAX（本样本的演示函数）,"G,S",ResponseStrength,输入缺失/类型错 → ValidationError；不抽签、不写状态
R_FIELD,1,使用已有 Session/Root/Opportunity/Scope；本模板不生成身份,同一 semantic particle 已准入 Scope,只读 facts,输入缺失/类型错 → ValidationError；不抽签、不写状态
